Zip,Household Median,Family Median,Married Couple Median,Nonfamily Household Median,Household Mean,Family Mean,Married Couple Mean,Nonfamily Mean
97001,43333,55625,60000,-,57422,43242,N,70890
97002,71587,82350,90644,37340,93306,102352,N,68224
97004,80036,92069,95469,27279,101251,111681,N,56390
97005,49127,59919,73489,35620,68296,79091,N,53230
97006,74116,79091,88695,57701,87728,94578,104212,69275
97007,83605,90960,102716,55875,100711,110264,122078,66448
97008,65091,81612,94506,41335,80246,91888,N,55849
97009,79149,92262,97542,39224,98336,107938,N,56804
97011,42024,78508,77903,-,53004,67358,N,24206
97013,70461,82274,88972,45323,86067,97120,N,51616
97014,50357,52188,52455,33125,57012,69805,N,36799
97015,75723,89726,97256,47721,89869,104364,N,57381
97016,47794,57750,70387,23486,63366,79819,N,33936
97017,81477,98807,105625,42642,95691,106048,N,47223
97018,67587,68924,68523,58500,79213,80494,N,75971
97019,68882,90152,90871,28487,83990,103179,N,44502
97020,66250,70476,83750,41458,77103,78675,N,66613
97021,54375,69583,78542,36250,74211,95186,N,36965
97022,76020,70078,77113,42500,87613,84276,N,48384
97023,66226,73971,82978,50744,86297,95735,N,53552
97024,60829,71801,80247,37026,72989,81086,N,52491
97026,66676,68676,72548,36625,76582,76846,N,51834
97027,61638,76043,91903,34183,79291,91002,N,53424
97028,66971,-,-,-,78339,N,N,78353
97029,49375,68409,79028,17813,89179,118366,N,27902
97030,50318,58450,73215,31572,61710,70824,N,43419
97031,63838,74046,79732,45199,87325,99917,N,61808
97032,55859,68536,81029,37831,70122,78003,N,39711
97033,25833,-,-,22143,63250,N,N,61125
97034,120473,158619,168047,51750,174269,210109,N,76637
97035,94531,124848,143168,49000,130985,164620,N,67804
97037,45679,49375,60156,26250,54797,67710,N,29316
97038,61716,71691,78697,38762,74479,83021,N,46239
97039,57212,65000,64583,29375,75313,87403,N,43231
97040,69042,74856,76719,54167,79003,85330,N,61790
97041,70833,73814,73456,48542,81499,85503,N,62747
97042,73669,86081,98068,-,87366,96327,N,40749
97045,76495,88547,95670,41944,91935,103094,N,55146
97048,55534,65256,74031,32765,68251,76883,N,39506
97049,76528,73750,87778,62853,82402,93098,N,54072
97050,50893,66250,74063,29063,54928,63130,N,38291
97051,55194,69695,83246,32887,69073,80221,N,43042
97053,64652,89491,89352,43442,97057,118824,N,43529
97054,74844,74609,78036,57313,78870,85803,N,54048
97055,68789,79907,84985,38783,80470,89708,N,48321
97056,73505,83940,100110,31930,85649,100056,N,50494
97057,22750,-,-,-,21933,N,N,N
97058,50407,60131,67045,31607,62914,72113,N,39836
97060,67239,77148,98290,40144,83776,93953,N,52613
97062,82077,103175,119591,42158,103323,121444,N,60524
97063,51774,55260,55417,43750,83795,107538,N,46313
97064,58300,69219,70625,29561,64063,71357,N,41568
97065,42250,61250,62273,21667,70233,98644,N,32733
97067,55038,67125,66000,33011,60227,71134,N,39765
97068,104618,127178,136720,43391,139386,157902,N,75051
97070,69842,85333,106304,52017,103831,115216,N,79755
97071,47994,51071,58669,33353,61204,64080,N,44333
97080,72917,83847,93904,39826,86821,97813,N,51655
97086,89852,122071,133232,50890,120447,147681,N,60134
97089,94656,105167,119923,33607,107965,118429,N,46503
97101,56538,70469,90917,22131,70928,80740,N,41219
97102,-,-,-,-,137319,138498,N,N
97103,52846,72655,81875,33596,67589,83498,N,42296
97106,100855,102500,104861,45625,112275,116469,N,71213
97107,57132,62135,71058,30000,64217,69843,N,42745
97108,43472,55000,58550,35800,50734,57677,N,38995
97109,68500,84423,84135,26429,102395,115935,N,31850
97110,37232,59464,66719,24306,62348,76550,N,50829
97111,62575,72800,83750,47538,69661,73204,N,43046
97112,44231,65909,51875,32500,55746,66154,N,40300
97113,63689,71058,74563,48534,76899,77755,N,65285
97114,61172,68706,74554,35729,77057,82701,N,44479
97115,74375,78214,81429,-,86879,91301,N,60701
97116,61981,73621,80833,35375,77683,87177,N,45489
97117,82132,80221,73750,101111,98702,103941,N,79973
97118,41083,46250,40500,38438,74121,57181,N,106035
97119,88750,98688,105000,42344,112056,123978,N,48911
97121,59554,60278,64773,41875,69526,72954,N,56741
97122,41196,47070,47070,25568,44982,59615,N,23508
97123,74211,81997,92945,42931,89940,94817,N,68236
97124,86400,92154,99746,68805,99239,108540,N,75713
97125,139875,138984,138281,-,126629,115314,N,-
97127,63832,69750,77318,39015,74210,77486,N,56166
97128,53815,66119,79120,39646,79052,91277,N,53525
97130,51691,61944,58750,50192,61794,76656,N,44729
97131,60156,71500,72353,41406,74702,96616,N,44989
97132,63750,77655,91721,38905,82649,91161,N,54976
97133,95433,101167,102300,48906,115342,131122,N,68220
97134,61823,-,-,62005,74093,N,N,78582
97135,-,39361,43482,16661,38716,40774,N,30351
97136,43585,51328,51875,24554,50850,58069,N,36457
97137,89083,93750,98889,63542,101234,105163,N,81488
97138,47017,66138,85877,30011,64171,79321,N,43102
97140,105388,120520,128075,40711,122837,140832,N,55006
97141,46557,59656,69750,26689,65303,77907,N,39270
97144,-,-,-,-,52603,N,N,N
97145,85486,85903,86667,31731,67449,76716,N,45175
97146,57806,68036,76649,27311,71966,80556,N,41556
97147,43036,46944,58750,33523,60319,78958,N,47004
97148,79688,100956,106458,51144,114078,128686,N,62121
97149,50873,71354,70625,42083,59574,77906,N,35514
97201,51625,122193,144250,35789,96865,190499,N,61554
97202,73924,107314,123305,49862,100566,136074,N,63318
97203,60908,70039,86705,42917,75017,83000,N,58546
97204,11763,-,-,11116,35474,186672,N,16268
97205,33302,117284,134327,25385,64671,158478,N,40337
